trade_date,signal_time,ticker,price,grade,s1_support,outcome,win,lowest_low,final_close,max_drawdown_pct
2026-03-09,2026-03-09T00:00:00,NVDA,182.65,B,175.51,LOSS,False,167.00999450683594,167.52000427246094,-4.843032017072562
2026-03-09,2026-03-09T00:00:00,TSLA,398.68,B,393.18,LOSS,False,359.4700012207031,361.8299865722656,-8.573680955108825
2026-03-09,2026-03-09T00:00:00,TSM,348.7,A,334.15,LOSS,False,322.30999755859375,326.739990234375,-3.54331959940333
2026-03-09,2026-03-09T00:00:00,AAPL,259.88,B,254.96,LOSS,False,246.0,248.8000030517578,-3.5142767492940097
2026-03-09,2026-03-09T00:00:00,AMD,202.68,B,189.04,WIN,True,189.02000427246094,201.99000549316406,-0.010577511393913745
2026-03-03,2026-03-03T00:00:00,NPKI,13.69,A,13.81,WIN,True,13.029999732971191,14.229999542236328,-5.648083034241919
2026-03-03,2026-03-03T00:00:00,WBS,68.77,A,70.97,LOSS,False,67.05999755859375,69.33999633789062,-5.509373596458008
2026-03-03,2026-03-03T00:00:00,DECK,109.86,A,112.67,LOSS,False,99.55999755859375,102.44999694824219,-11.635752588449677
2026-03-03,2026-03-03T00:00:00,FDMT,8.46,B,8.94,WIN,True,7.960000038146973,9.229999542236328,-10.961968253389562
2026-03-03,2026-03-03T00:00:00,FIG,30.74,C,28.42,LOSS,False,22.75,23.200000762939453,-19.950738916256164
2026-03-03,2026-03-03T00:00:00,CRCL,99.63,C,85.38,WIN,True,91.12999725341797,126.63999938964844,0.0
2026-03-04,2026-03-04T00:00:00,NPKI,13.69,A,13.81,WIN,True,13.029999732971191,14.880000114440918,-5.648083034241919
2026-03-04,2026-03-04T00:00:00,WBS,68.77,A,70.97,LOSS,False,67.05999755859375,68.66999816894531,-5.509373596458008
2026-03-04,2026-03-04T00:00:00,DECK,109.86,A,112.67,LOSS,False,99.55999755859375,101.38999938964844,-11.635752588449677
2026-03-04,2026-03-04T00:00:00,FDMT,8.46,B,8.94,WIN,True,7.960000038146973,9.180000305175781,-10.961968253389562
2026-03-04,2026-03-04T00:00:00,SNDK,565.41,A,594.85,WIN,True,517.0,702.47998046875,-13.087332941077587
