trade_description,credit_rcvd,debit_paid,max_profit,max_loss,bp_usd,bp_pct,position_type,risk_type,date_opened
/1OZQ6 Long (5 Contracts) @ $5418.4,,,,26756,1347,0.2,Core,Undef,2026-01-29
/6EU6 8/7 Short Put,575,,575,143800,2280,0.3,Core,Undef,2026-05-28
/6JU6 7/2 Call Debit Spread,,288,963,288,59,0.0,Core,Def,2026-05-20
/MESU6 6/30 Short Put (2 Contracts),1035,,1035,72800,3198,0.4,Core,Undef,2026-05-15
/MESU6 Long (5 Contracts) @ $7605.25,,,,190131,13767,1.9,Core,Undef,2026-06-18
/MNQU6 6/30 Short Put,1092,,1092,56732,1089,0.2,Core,Undef,2026-05-15
/SICN6 Long (1 Contract) @ 95.55,,,,9500,871,0.1,Core,Undef,2026-03-01
/ZCU6 7/24 Short Put,538,,538,22088,1564,0.2,Core,Undef,2026-05-14
/ZWU6 7/24 Short Put,806,,806,30344,2574,0.4,Core,Undef,2026-05-14
ADBE 8/21 Long Call,,900,,900,275,0.0,Supp,Def,2026-06-11
AVGO 7/17 Super Bull,815,,1815,37185,3225,0.4,Supp,Undef,2026-06-04
CBOE 1/21/28 LEAPS,,7470,inf,7470,5275,0.7,Supp,Def,2026-06-03
CME 1/21/28 LEAPS,,5450,inf,5450,3258,0.5,Supp,Def,2026-06-03
GLD 7/17 Short Straddle (Covered),2400,,2400,inf,11179,1.5,Core,Undef,2025-09-25
META 1/21/2028 LEAPS,,19250,inf,19250,9631,1.3,Supp,Def,2026-04-30
MSFT 6/17/27 LEAPS,,9800,inf,9800,6765,0.9,Supp,Def,2026-01-29
NOW 7/17 & 8/21 Call Diagonal,,560,440,560,305,0.0,Supp,Def,2026-06-15
NVDA 7/17 Long Call,,731,inf,731,731,0.1,Supp,Def,2026-05-20
NVDA 7/17 Short Put,1200,,1200,20300,2028,0.3,Supp,Undef,2026-05-22
ONDS 1/15/27 Call Zebra,,370,inf,370,608,0.1,Supp,Def,2025-09-05
SLV 7/17 Short Straddle,1750,,1750,inf,872,0.1,Core,Undef,2025-12-09
SMH 7/17 Short Put,3305,,3305,inf,6465,0.9,Core,Undef,2026-03-20
SPX 7/17 Put Butterfly,,605,9395,605,659,0.1,Core,Def,2026-05-26
UNH 7/17 LEAPS,,8350,inf,8350,6019,0.8,Supp,Def,2025-05-15
WMT 7/17 Short Put,500,,500,12500,1755,0.2,Supp,Undef,2026-05-20
