date,ticker,price,change_pct,grade,tech_score,fund_score,trend,ema_stack,rsi,adx,valuation_status,gap_pct,fair_value,iv,hv,call_vol,put_vol,pc_ratio,inst_direction,inst_conviction
2026-03-04,BE,153.02,-7.82,B,95,60,Bullish,FULL BULLISH,51.74,7.67,FAIR VALUE,-6.2,143.48,1.22,102.35,16265,11856,0.73,buying,4.016
2026-03-03,CRCL,99.63,3.63,C,25,70,Bearish,PARTIAL BULLISH,83.33,38.97,UNDERVALUED,25.5,125.06,91.1,124.17,105860,48555,0.46,buying,16.815
2026-03-03,CVX,190.04,0.23,B,85,50,Bullish,FULL BULLISH,70.71,47.52,OVERVALUED,-20.0,152.05,39.85,18.17,25010,6444,0.26,,
2026-03-03,DAKT,24.88,-6.36,A,100,70,Bullish,FULL BULLISH,38.44,50.26,OVERVALUED,-50.1,12.42,67.07,41.29,98,229,2.34,,
2026-03-04,DAKT,24.88,-6.36,A,100,70,Bullish,FULL BULLISH,38.44,50.26,OVERVALUED,-50.1,12.42,0.39,41.29,98,229,2.34,,
2026-03-03,DECK,109.86,-4.06,A,100,80,Bullish,FULL BULLISH,35.92,45.85,OVERVALUED,-29.5,77.47,46.25,60.66,1850,2922,1.58,,
2026-03-04,DECK,109.86,-4.06,A,100,80,Bullish,FULL BULLISH,35.92,45.85,OVERVALUED,-29.5,77.47,1.58,60.66,1850,2922,1.58,,
2026-03-03,FDMT,8.46,-9.32,B,75,70,Bullish,FULL BULLISH,40.91,29.72,UNDERVALUED,291.4,33.11,0,63.9,419,300,0.72,,
2026-03-04,FDMT,8.46,-9.32,B,75,70,Bullish,FULL BULLISH,40.91,29.71,UNDERVALUED,291.4,33.11,0,63.9,419,300,0.72,,
2026-03-03,FIG,30.74,4.95,C,40,70,Bearish,TANGLED,69.1,39.65,UNDERVALUED,30.9,40.25,79.31,93.39,12034,2996,0.25,buying,21.672
2026-03-04,GEV,842.0,-4.45,B,100,60,Bullish,FULL BULLISH,62.96,45.8,OVERVALUED,-59.6,339.77,1.09,40.55,9349,7817,0.84,buying,1.769
2026-03-05,INVA,22.73,1.93,A,95,80,Bullish,FULL BULLISH,52.44,61.93,UNDERVALUED,44.6,32.86,0.0,29.65,221,9,0.04,,
2026-03-03,KO,78.75,-1.83,A,95,70,Bullish,FULL BULLISH,59.75,38.74,OVERVALUED,-52.1,37.76,24.84,17.93,4345,7298,1.68,,
2026-03-03,MU,386.1,-6.44,A,95,80,Bullish,FULL BULLISH,54.0,23.01,FAIR VALUE,-4.8,367.21,89.85,66.67,121621,95021,0.78,,
2026-03-03,NPKI,13.69,-2.7,A,95,80,Bullish,FULL BULLISH,43.28,37.56,FAIR VALUE,-11.4,12.13,0,38.69,41,13,0.32,,
2026-03-04,NPKI,13.69,-2.7,A,95,80,Bullish,FULL BULLISH,43.28,37.55,FAIR VALUE,-11.4,12.13,0,38.69,41,13,0.32,,
2026-03-05,NPKI,14.07,2.78,A,95,80,Bullish,FULL BULLISH,43.0,33.89,FAIR VALUE,-13.8,12.13,0,37.89,46,13,0.28,,
2026-03-03,NPT,8.31,46.73,C,40,50,Bearish,FULL BULLISH,65.04,59.22,UNKNOWN,0,0,0,161.52,0,0,0,,
2026-03-03,PLTR,147.22,1.41,C,15,80,Bearish,FULL BEARISH,59.12,23.57,OVERVALUED,-46.5,78.79,57.6,63.41,267861,184426,0.69,buying,8.874
2026-03-05,PLTR,153.19,4.06,C,20,80,Bearish,FULL BEARISH,69.72,23.1,OVERVALUED,-48.4,79.04,1.22,64.64,329429,186616,0.57,buying,194.67
2026-03-03,SEM,16.25,8.37,B,95,60,Bullish,TANGLED,55.85,40.86,FAIR VALUE,11.0,18.04,0,34.72,62,75,1.21,,
2026-03-05,SEM,16.25,-0.06,B,95,60,Bullish,FULL BULLISH,51.34,37.91,FAIR VALUE,9.4,17.79,0,34.58,34,74,2.18,,
2026-03-04,SNDK,565.41,-8.67,A,95,70,Bullish,FULL BULLISH,53.45,19.43,UNDERVALUED,28.1,724.26,1.08,104.69,54359,46787,0.86,buying,5.468
2026-03-05,TGNA,20.95,0.1,B,95,60,Bullish,FULL BULLISH,58.51,63.15,UNDERVALUED,25.0,26.18,0.1,25.88,199,2361,11.86,,
2026-03-05,TSLA,405.94,3.44,B,80,60,Bullish,PARTIAL BEARISH,37.49,24.29,OVERVALUED,-45.2,222.45,2.24,36.55,518528,368517,0.71,buying,112.068
2026-03-05,TSM,357.44,1.22,A,100,80,Bullish,FULL BULLISH,39.72,12.86,OVERVALUED,-36.9,225.46,1.51,35.7,37421,79727,2.13,buying,171.457
2026-03-03,WBS,68.77,-3.68,A,100,80,Bullish,FULL BULLISH,31.6,44.74,UNDERVALUED,30.6,89.79,30.78,34.65,146,60,0.41,,
2026-03-04,WBS,68.77,-3.68,A,100,80,Bullish,FULL BULLISH,31.6,44.74,UNDERVALUED,30.6,89.79,0.39,34.65,146,60,0.41,,
2026-03-05,WBS,70.1,1.93,A,95,80,Bullish,FULL BULLISH,41.11,42.36,UNDERVALUED,21.6,85.27,0.52,34.44,152,68,0.45,,
2026-03-03,XOM,152.0,-1.44,B,95,50,Bullish,FULL BULLISH,52.11,34.58,OVERVALUED,-20.8,120.35,45.71,27.92,44088,13304,0.3,,
