ticker,name,sector,industry,price,market_cap,fortress_score,tier,cpi_ready,roic,roce,roe,fcf_yield,debt_ebitda,interest_coverage,gross_margin,op_margin,profit_margin,rev_growth,earnings_growth,pe,fwd_pe,peg,pb,div_yield,payout_ratio
ORLA,Orla Mining Ltd.,Basic Materials,Gold,17.73,6030620672.0,97.8,FORTRESS,True,54.7,20.2,18.4,11.1,-0.1,6.0,66.9,51.9,10.1,308.0,170.7,59.1,10.2,,9.19,34.0,
KNSL,"Kinsale Capital Group, Inc.",Financial Services,Insurance - Property & Casualty,361.77,8416009216.0,96.2,FORTRESS,True,27.1,10.7,29.3,11.4,0.1,60.6,28.1,36.8,26.9,17.3,27.8,16.7,16.3,,4.27,28.0,3.1
KGC,Kinross Gold Corporation,Basic Materials,Gold,32.84,39481925632.0,95.0,FORTRESS,True,35.4,29.8,31.5,6.1,-0.2,40.1,66.7,49.2,33.9,42.9,237.9,16.8,9.5,,4.59,41.0,6.4
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Capital Markets,71.93,122294689792.0,94.8,FORTRESS,False,1066.4,19.6,23.5,12.9,-0.5,2.1,92.5,78.8,15.8,15.2,30.3,32.4,25.8,,5.97,44.0,13.6
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,119.38,18344982528.0,93.5,FORTRESS,True,30.9,18.1,23.4,7.1,0.5,16.4,38.5,35.3,20.5,22.8,37.1,13.3,15.1,,3.79,159.0,22.3
UMBF,UMB Financial Corporation,Financial Services,Banks - Regional,120.81,9198061568.0,93.2,FORTRESS,False,1575.2,,12.6,10.6,-53.9,0.0,0.0,43.0,28.1,67.6,12.6,13.0,9.2,,1.24,143.0,17.5
EVR,Evercore Inc.,Financial Services,Capital Markets,334.96,13266240512.0,92.5,FORTRESS,False,44.6,,30.1,8.9,-29.5,0.0,93.4,24.7,15.3,32.2,44.8,23.8,14.6,,6.35,103.0,23.6
PIPR,Piper Sandler Companies,Financial Services,Capital Markets,83.25,5934871040.0,92.5,FORTRESS,False,65.6,,19.6,9.3,-25.3,0.0,90.6,29.8,14.8,37.6,65.1,21.0,14.5,,4.1,86.0,17.1
B,Barrick Mining Corporation,Basic Materials,Gold,42.43,71510589440.0,92.0,FORTRESS,True,28.9,19.1,20.7,5.7,-0.1,25.6,51.3,52.6,29.4,64.5,150.0,14.5,9.6,,2.68,395.0,17.9
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,452.9,42076995584.0,91.8,FORTRESS,True,229.1,2.5,60.5,8.5,-0.9,14.8,56.2,35.3,18.8,8.6,-1.1,12.5,9.8,,6.31,141.0,17.3
